inchhpc_std;age_std;educ_std;white;male;ideo_std;ptyid7;ptyid;treat;cue;cueg;y;popmin;popmul;popadd
-1.0813702239319132;-0.8000995124313649;-1.1128100394587637;1;0;-0.07448914979838016;-2;Democrat;Trump (Populist Message);Populist Message;Trump;1;-1.6366595817230107;0.14391560212894247;-0.9171840544470162
-0.6487290167708758;0.9720165738802219;0.19745872777191265;1;0;1.5924973791653694;3;Republican;Control (Anti-populist Message);Anti-populist Message;Control;1;-2.9162642499376474;0.2672686213845996;0.5965533551502209
-0.929942556454248;-1.4498754107456135;-0.4576756558434255;0;0;0.9257027675798697;0;Independent;Control (Anti-populist Message);Anti-populist Message;Control;1;-1.0087964059874255;0.14227960825311306;-1.6171267324529583
-0.3242318865435863;0.9720165738802219;0.8525931113872508;1;0;-0.07448914979838016;0;Independent;Biden (Anti-populist Message);Anti-populist Message;Biden;0;-1.2200424124016953;0.08616490422848652;-3.162148524440155
1.5145960013153947;1.562721935984084;1.507727495002589;1;0;0.5923054617871196;-3;Democrat;Control (Anti-populist Message);Anti-populist Message;Control;1;-1.0280846956369953;0.1409352798219847;-1.6584069764780005
-0.9011012515196464;0.08595853072442845;0.8525931113872508;1;0;1.5924973791653694;3;Republican;Biden (Populist Message);Populist Message;Biden;1;-1.2319072895706418;0.2480769970059681;2.2699917898493056
-0.27013821493469714;0.6766638928282908;0.8525931113872508;1;0;-1.7414756787621297;-3;Democrat;Trump (Populist Message);Populist Message;Trump;0;-1.182610450008057;0.17875105401285235;-1.4395300243258362
2.5962422855020186;0.9720165738802219;-0.4576756558434255;1;0;1.5924973791653694;1;Independent;Trump (Populist Message);Populist Message;Trump;1;-0.18957986863474943;0.2849971678930002;1.244936044131969
0.7033531757471712;1.267369254932153;-0.4576756558434255;1;0;1.5924973791653694;3;Republican;Control (Populist Message);Populist Message;Control;1;-0.1996234437185547;0.3877308429824532;2.867514793636009
0.10843095375946629;0.9720165738802219;-0.4576756558434255;1;0;-0.07448914979838016;1;Independent;Control (Anti-populist Message);Anti-populist Message;Control;0;-1.7412061228696414;0.13249446250796643;0.32661442830389453
